iter	Passed	Remaining
882	111804	5571
883	111919	5444
884	112000	5315
885	112098	5187
886	112164	5058
887	112242	4929
888	112315	4800
889	112409	4673
890	112487	4544
891	112552	4416
892	112628	4288
893	112718	4160
894	112798	4033
895	112880	3905
896	112951	3777
897	113047	3650
898	113128	3523
899	113200	3396
900	113271	3268
901	113339	3141
902	113413	3014
903	113483	2887
904	113573	2760
905	113666	2634
906	113730	2507
907	113808	2381
908	113878	2255
909	113967	2129
910	114068	2003
911	114179	1877
912	114289	1752
913	114402	1627
914	114509	1501
915	114581	1375
916	114653	1250
917	114753	1125
918	114815	999
919	114890	874
920	114951	748
921	115035	623
922	115122	498
923	115210	374
924	115292	249
925	115355	124
926	115440	0
